symbol,yesterday_volume,volume_3_days,volume_5_days,volume_15_days,volume_30_days
HRMY,246448.0,275412.6666666667,337689.6,296808.4666666667,312526.8333333333
SWAGW,2909.0,4728.333333333333,8497.4,21328.333333333332,30322.7
FOCT,43259.0,21624.333333333332,22676.0,35575.0,50652.86666666667
PWSC,564378.0,471233.3333333333,717404.6,702827.9333333333,638613.7333333333
FUMB,36357.0,54482.333333333336,42957.0,65958.86666666667,52544.566666666666
O-F.CL,15718.0,19312.0,15912.8,26765.4,38997.0
IBDP,178650.0,187902.66666666666,178305.2,146651.8,172311.9
MSCA.CL,300.0,4000.0,4123.2,4289.933333333333,4204.45
CIL,921.0,6523.333333333333,4283.6,2236.133333333333,1742.6
PBHC,24420.0,10005.333333333334,7455.0,5522.533333333334,3970.6
NNDM,10216865.0,8386022.0,7739714.0,8218091.0,8119693.1
ERC,47585.0,58047.666666666664,58783.6,59436.333333333336,68341.53333333334
CCV.CL,12041.0,13365.666666666666,9639.8,13846.666666666666,15410.833333333334
IMRNW,350.0,951.6666666666666,1228.2,1016.4666666666667,2591.4
TWOA,86932.0,35897.333333333336,23336.0,23019.533333333333,20720.2
GROY+,21104.0,16711.0,24525.6,11217.533333333333,13148.166666666666
IKT,305931.0,445757.0,533496.0,534885.8666666667,382747.6666666667
GXTG,13991.0,34777.666666666664,26660.2,21796.866666666665,18102.666666666668
PXE,177280.0,141865.33333333334,113615.2,123713.53333333334,144164.56666666668
RBS-G.CL,59772.0,59091.333333333336,57240.6,198439.0,271211.1666666667
AFACU,606.0,78602.0,52567.4,28959.533333333333,629206.1764705882
QCLR,1696.0,2355.0,1681.2,1311.4666666666667,999.1
MMX,119698.0,128369.66666666667,140852.2,114065.0,103036.86666666667
FLGT,450397.0,464862.6666666667,605697.4,558297.7333333333,481381.4666666667
PIPP,136341.0,189582.66666666666,202509.8,826836.0,455556.9666666667
AGCWW,272398.0,159540.66666666666,111721.2,190367.73333333334,252024.1
CHN,13099.0,27934.333333333332,21063.8,18582.4,20775.833333333332
DECK,325482.0,384471.6666666667,413177.2,347481.4666666667,432981.4
THCPU,505.0,2682.6666666666665,2147.4,2124.3333333333335,48393.6
OBNK,51553.0,49052.0,48372.0,51993.13333333333,49441.566666666666
AMD,66776493.0,62949245.666666664,65643080.2,57752289.266666666,64450104.9
SCZ,1026071.0,1419341.3333333333,1670379.6,1270984.4,1216987.6333333333
CSWI,42356.0,41547.0,53653.6,39833.666666666664,38226.1
OXLCL,14297.0,6390.0,6936.0,4530.4,3613.766666666667
